No GPU/TPU found, falling back to CPU. (Set TF_CPP_MIN_LOG_LEVEL=0 and rerun for more info.)
Running.

  0%|          | 0/800 [00:00<?, ?it/s]
warmup:   0%|          | 1/800 [00:06<1:21:42,  6.14s/it, 1 steps of size 2.34e+00. acc. prob=0.00]
warmup:   1%|▏         | 10/800 [00:06<06:01,  2.18it/s, 27 steps of size 1.14e-08. acc. prob=0.15]
warmup:   2%|▏         | 14/800 [00:15<14:38,  1.12s/it, 1023 steps of size 8.13e-10. acc. prob=0.27]
warmup:   2%|▏         | 16/800 [00:20<19:06,  1.46s/it, 1023 steps of size 8.23e-11. acc. prob=0.28]
warmup:   2%|▏         | 18/800 [00:26<23:11,  1.78s/it, 1023 steps of size 4.07e-10. acc. prob=0.36]
warmup:   2%|▏         | 19/800 [00:29<25:29,  1.96s/it, 1023 steps of size 1.35e-10. acc. prob=0.36]
warmup:   2%|▎         | 20/800 [00:32<27:50,  2.14s/it, 1023 steps of size 3.01e-10. acc. prob=0.39]
warmup:   3%|▎         | 21/800 [00:35<30:06,  2.32s/it, 1023 steps of size 9.16e-11. acc. prob=0.39]
warmup:   3%|▎         | 22/800 [00:38<32:00,  2.47s/it, 1023 steps of size 2.04e-10. acc. prob=0.42]
warmup:   3%|▎         | 23/800 [00:41<33:35,  2.59s/it, 1023 steps of size 2.32e-10. acc. prob=0.43]
warmup:   3%|▎         | 24/800 [00:44<35:02,  2.71s/it, 1023 steps of size 3.88e-10. acc. prob=0.45]
warmup:   3%|▎         | 25/800 [00:47<36:12,  2.80s/it, 1023 steps of size 6.51e-10. acc. prob=0.47]
warmup:   3%|▎         | 26/800 [00:50<37:04,  2.87s/it, 1023 steps of size 1.06e-09. acc. prob=0.49]
warmup:   3%|▎         | 27/800 [00:53<37:41,  2.93s/it, 1023 steps of size 3.28e-10. acc. prob=0.48]
warmup:   4%|▎         | 28/800 [00:56<38:06,  2.96s/it, 1023 steps of size 4.68e-10. acc. prob=0.49]
warmup:   4%|▎         | 29/800 [00:59<38:25,  2.99s/it, 1023 steps of size 4.06e-10. acc. prob=0.50]
warmup:   4%|▍         | 30/800 [01:02<38:33,  3.00s/it, 1023 steps of size 6.85e-10. acc. prob=0.52]
warmup:   4%|▍         | 31/800 [01:06<38:39,  3.02s/it, 1023 steps of size 8.80e-10. acc. prob=0.52]
